CMDLINE /Users/localadmin/miniforge3/envs/splitting_env/bin/python3.9 ./setup_labeled_data.py
MEM 469.218750 1725357555.4066
MEM 509.531250 1725357555.5117
MEM 532.906250 1725357555.6169
MEM 530.406250 1725357555.7221
MEM 532.375000 1725357555.8273
MEM 553.890625 1725357555.9323
MEM 556.968750 1725357556.0375
MEM 572.484375 1725357556.1427
MEM 608.359375 1725357556.2479
MEM 641.250000 1725357556.3530
MEM 677.625000 1725357556.4582
MEM 693.312500 1725357556.5633
MEM 717.921875 1725357556.6681
MEM 754.656250 1725357556.7732
MEM 794.359375 1725357556.8783
MEM 825.015625 1725357556.9835
MEM 849.906250 1725357557.0847
MEM 884.031250 1725357557.1898
MEM 916.328125 1725357557.2950
MEM 931.250000 1725357557.4001
MEM 941.265625 1725357557.5052
MEM 924.562500 1725357557.6103
MEM 923.796875 1725357557.7135
MEM 942.140625 1725357557.8148
MEM 952.828125 1725357557.9201
MEM 934.015625 1725357558.0253
MEM 913.843750 1725357558.1306
MEM 932.953125 1725357558.2358
MEM 926.218750 1725357558.3409
MEM 952.203125 1725357558.4434
MEM 974.375000 1725357558.5473
MEM 951.937500 1725357558.6525
MEM 886.156250 1725357558.7535
MEM 894.015625 1725357558.8587
MEM 913.156250 1725357558.9638
MEM 888.343750 1725357559.0689
MEM 885.640625 1725357559.1741
MEM 891.953125 1725357559.2797
MEM 888.046875 1725357559.3848
MEM 913.296875 1725357559.4900
MEM 902.656250 1725357559.5907
MEM 931.500000 1725357559.6959
MEM 922.171875 1725357559.7988
MEM 918.062500 1725357559.9035
MEM 942.765625 1725357560.0088
MEM 958.968750 1725357560.1140
MEM 955.109375 1725357560.2148
MEM 987.500000 1725357560.3200
MEM 1029.171875 1725357560.4252
MEM 1030.421875 1725357560.5304
MEM 1049.984375 1725357560.6352
MEM 1032.171875 1725357560.7403
MEM 1035.375000 1725357560.8455
MEM 1027.796875 1725357560.9508
MEM 978.281250 1725357561.0559
MEM 905.406250 1725357561.1611
MEM 921.968750 1725357561.2662
MEM 946.000000 1725357561.3714
MEM 943.890625 1725357561.4765
MEM 961.265625 1725357561.5816
MEM 990.031250 1725357561.6867
MEM 1007.984375 1725357561.7918
MEM 997.453125 1725357561.8969
MEM 991.859375 1725357562.0020
MEM 979.937500 1725357562.1072
MEM 962.593750 1725357562.2123
MEM 975.343750 1725357562.3175
MEM 911.796875 1725357562.4226
MEM 907.187500 1725357562.5278
MEM 927.359375 1725357562.6329
MEM 886.453125 1725357562.7381
MEM 792.687500 1725357562.8432
MEM 803.140625 1725357562.9454
MEM 806.500000 1725357563.0468
MEM 812.500000 1725357563.1481
MEM 824.953125 1725357563.2532
MEM 834.796875 1725357563.3583
MEM 864.796875 1725357563.4629
MEM 869.421875 1725357563.5635
MEM 875.421875 1725357563.6673
MEM 898.546875 1725357563.7724
MEM 902.968750 1725357563.8776
MEM 925.421875 1725357563.9828
MEM 934.562500 1725357564.0869
MEM 946.718750 1725357564.1890
MEM 951.140625 1725357564.2896
MEM 958.531250 1725357564.3908
MEM 960.281250 1725357564.4921
MEM 980.015625 1725357564.5975
MEM 1000.578125 1725357564.7027
MEM 993.578125 1725357564.8069
MEM 1000.375000 1725357564.9082
MEM 1011.468750 1725357565.0095
MEM 996.296875 1725357565.1109
MEM 1022.921875 1725357565.2161
MEM 1009.796875 1725357565.3180
MEM 1026.593750 1725357565.4231
MEM 1047.593750 1725357565.5268
MEM 1045.687500 1725357565.6291
MEM 1080.500000 1725357565.7342
MEM 1116.031250 1725357565.8393
MEM 1106.453125 1725357565.9444
MEM 1117.687500 1725357566.0495
MEM 1013.281250 1725357566.1546
MEM 1008.906250 1725357566.2598
MEM 1056.765625 1725357566.3650
MEM 1069.968750 1725357566.4701
